Construction,Who suggested it,Is it a construction?,Status (present in Constructicon or not),Comments,Scholarly description if there is any,Freq in the RNC
за кадром,from the list of 1000 most freq word combinations in RNC,,,,,323
в тягость,from the list of 1000 most freq word combinations in RNC,,,,,323
в норме,from the list of 1000 most freq word combinations in RNC,,,,,323
туда и обратно,from the list of 1000 most freq word combinations in RNC,,,,,322
по бокам (чего-л.),from the list of 1000 most freq word combinations in RNC,,,,,321
для порядка (порядку),from the list of 1000 most freq word combinations in RNC,,,,,321
на кой,from the list of 1000 most freq word combinations in RNC,,,,,320
необходимо учитывать,from the list of 1000 most freq word combinations in RNC,,,,,320
невдалеке от,from the list of 1000 most freq word combinations in RNC,,,,,319
некоторым образом,from the list of 1000 most freq word combinations in RNC,,,,,319
за бесценок,from the list of 1000 most freq word combinations in RNC,,,,,319
на очереди,from the list of 1000 most freq word combinations in RNC,,,,,318
(к кому-л. лицом),from the list of 1000 most freq word combinations in RNC,,,,,317
что ни говори,from the list of 1000 most freq word combinations in RNC,,,,,317
на фиг,from the list of 1000 most freq word combinations in RNC,,,,,316
по долгу,from the list of 1000 most freq word combinations in RNC,,,,,316
без боя,from the list of 1000 most freq word combinations in RNC,,,,,316
к чести,from the list of 1000 most freq word combinations in RNC,,,,,316
в двух словах,from the list of 1000 most freq word combinations in RNC,,,,,316
в эту пору,from the list of 1000 most freq word combinations in RNC,,,,,315
скрепя сердце,from the list of 1000 most freq word combinations in RNC,,,,,313
ни к чему (кому-л.),from the list of 1000 most freq word combinations in RNC,,,,,313
по заслугам,from the list of 1000 most freq word combinations in RNC,,,,,313
рука об руку,from the list of 1000 most freq word combinations in RNC,,,,,313
вот то-то,from the list of 1000 most freq word combinations in RNC,,,,,313
на волне,from the list of 1000 most freq word combinations in RNC,,,,,312
за решеткой,from the list of 1000 most freq word combinations in RNC,,,,,311
кому как,from the list of 1000 most freq word combinations in RNC,,,,,310
на полуслове,from the list of 1000 most freq word combinations in RNC,,,,,310
из вежливости,from the list of 1000 most freq word combinations in RNC,,,,,309
со дня на день,from the list of 1000 most freq word combinations in RNC,,,,,308
от всего сердца,from the list of 1000 most freq word combinations in RNC,,,,,307
в последующем,from the list of 1000 most freq word combinations in RNC,,,,,307
кто где,from the list of 1000 most freq word combinations in RNC,,,,,307
без умолку (умолка),from the list of 1000 most freq word combinations in RNC,,,,,306
право же,from the list of 1000 most freq word combinations in RNC,,,,,306
только что не,from the list of 1000 most freq word combinations in RNC,,,,,305
на четвереньки,from the list of 1000 most freq word combinations in RNC,,,,,305
из поколения в поколение,from the list of 1000 most freq word combinations in RNC,,,,,305
от рук,from the list of 1000 most freq word combinations in RNC,,,part of larger unit,,304
под боком,from the list of 1000 most freq word combinations in RNC,,,part of larger unit,,304
во веки веков,from the list of 1000 most freq word combinations in RNC,,,,,303
к слову сказать,from the list of 1000 most freq word combinations in RNC,,,Parenth,,303
кто куда,from the list of 1000 most freq word combinations in RNC,,,,,303
в одну минуту,from the list of 1000 most freq word combinations in RNC,,,,,302
с открытыми глазами,from the list of 1000 most freq word combinations in RNC,,,,,302
сложа руки,from the list of 1000 most freq word combinations in RNC,,,part of larger unit,,300
до глубины души,from the list of 1000 most freq word combinations in RNC,,,,,300
все ж таки,from the list of 1000 most freq word combinations in RNC,,,,,300
во весь голос,from the list of 1000 most freq word combinations in RNC,,,adv,,297
на каком основании,from the list of 1000 most freq word combinations in RNC,,,,,297
до неузнаваемости,from the list of 1000 most freq word combinations in RNC,,,,,297
помимо того,from the list of 1000 most freq word combinations in RNC,,,,,296
из-за рубежа,from the list of 1000 most freq word combinations in RNC,,,,,296
естественным образом,from the list of 1000 most freq word combinations in RNC,,,,,296
под мышку,from the list of 1000 most freq word combinations in RNC,,,,,295
вместо того чтоб,from the list of 1000 most freq word combinations in RNC,,,,,295
без спроса (спросу),from the list of 1000 most freq word combinations in RNC,,,,,295
по своему обыкновению,from the list of 1000 most freq word combinations in RNC,,,,,294
из принципа,from the list of 1000 most freq word combinations in RNC,,,,,294
равным образом,from the list of 1000 most freq word combinations in RNC,,,,,294
вполне понятно,from the list of 1000 most freq word combinations in RNC,,,,,293
видит бог,from the list of 1000 most freq word combinations in RNC,,,,,292
перед носом,from the list of 1000 most freq word combinations in RNC,,,,,291
под командованием,from the list of 1000 most freq word combinations in RNC,,,,,289
без ведома,from the list of 1000 most freq word combinations in RNC,,,,,289
по выбору,from the list of 1000 most freq word combinations in RNC,,,,,288
в силу того что,from the list of 1000 most freq word combinations in RNC,,,,,288
на заказ,from the list of 1000 most freq word combinations in RNC,,,,,288
настолько же,from the list of 1000 most freq word combinations in RNC,,,no,,288
в рамки,from the list of 1000 most freq word combinations in RNC,,,,,286
в целости,from the list of 1000 most freq word combinations in RNC,,,,,285
по правде говоря,from the list of 1000 most freq word combinations in RNC,,,Parenth,,285
в порядке вещей,from the list of 1000 most freq word combinations in RNC,,,,,285
на минуточку,from the list of 1000 most freq word combinations in RNC,,,,,285
от века (веку),from the list of 1000 most freq word combinations in RNC,,,,,284
сверху донизу,from the list of 1000 most freq word combinations in RNC,,,,,284
через посредство,from the list of 1000 most freq word combinations in RNC,,,,,284
на подходе,from the list of 1000 most freq word combinations in RNC,,,,,283
с лихвой (лихвою),from the list of 1000 most freq word combinations in RNC,,,,,283
в ногу,from the list of 1000 most freq word combinations in RNC,,,,,283
за версту,from the list of 1000 most freq word combinations in RNC,,,,,282
не шутка,from the list of 1000 most freq word combinations in RNC,,,,,282
со всех ног,from the list of 1000 most freq word combinations in RNC,,,,,282
в избытке,from the list of 1000 most freq word combinations in RNC,,,,,281
по диагонали,from the list of 1000 most freq word combinations in RNC,,,,,280
на плаву,from the list of 1000 most freq word combinations in RNC,,,,,280
чего ради,from the list of 1000 most freq word combinations in RNC,,,,,279
впредь до,from the list of 1000 most freq word combinations in RNC,,,,,279
"за море (за моря), за морем (за морями)",from the list of 1000 most freq word combinations in RNC,,,,,278
до поры,from the list of 1000 most freq word combinations in RNC,,,,,277
при смерти,from the list of 1000 most freq word combinations in RNC,,,,,277
в исходе,from the list of 1000 most freq word combinations in RNC,,,,,275
год от года (году),from the list of 1000 most freq word combinations in RNC,,,,,274
с боку (бока) на бок,from the list of 1000 most freq word combinations in RNC,,,,,274
в согласии с,from the list of 1000 most freq word combinations in RNC,,,,,273
до пят,from the list of 1000 most freq word combinations in RNC,,,,,273
по старинке,from the list of 1000 most freq word combinations in RNC,,,,,271
с избытком,from the list of 1000 most freq word combinations in RNC,,,,,271
по природе своей,from the list of 1000 most freq word combinations in RNC,,,,,271
во всеуслышание,from the list of 1000 most freq word combinations in RNC,,,,,269
в пылу сражения (битвы и т.д.),from the list of 1000 most freq word combinations in RNC,,,,,269
на учете,from the list of 1000 most freq word combinations in RNC,,,,,268
если хотите (хочешь) знать,from the list of 1000 most freq word combinations in RNC,,,,,267
за компанию,from the list of 1000 most freq word combinations in RNC,,,,,267
в применении к,from the list of 1000 most freq word combinations in RNC,,,,,265
где ни,from the list of 1000 most freq word combinations in RNC,,,,,265
в нарушение,from the list of 1000 most freq word combinations in RNC,,,,,265
в русле,from the list of 1000 most freq word combinations in RNC,,,,,265
по росту,from the list of 1000 most freq word combinations in RNC,,,,,264
вровень с,from the list of 1000 most freq word combinations in RNC,,,,,264
если позволите (позволишь),from the list of 1000 most freq word combinations in RNC,,,,,262
на край света,from the list of 1000 most freq word combinations in RNC,,,,,262
превыше всего,from the list of 1000 most freq word combinations in RNC,,,,,262
между делом,from the list of 1000 most freq word combinations in RNC,,,,,259
с разбега (разбегу),from the list of 1000 most freq word combinations in RNC,,,,,258
вдоль по,from the list of 1000 most freq word combinations in RNC,,,,,257
"если я правильно вас понял, Р",EV,,,,,
"не Р, а клад",EV,,,,,
"нашел Х, какой нужно",EV,,,,,
Надо же хоть немного Ринф,EV,,,,,
"Как бы то ни было, Р",EV,,,,,
"Если бы не Р, Q",EV,,,,,
"Неизвестно, чем бы это кончилось, если бы не Р",EV,,,,,
"это Х, больше некому",EV,,,,,
"Р, вот увидите",EV,,,,,
Первым делом Р,EV,,,,,
"Никто не заметил, как Р",EV,,,,,
Х зашел на огонек,EV,,,,,
"З не по дням, а по часам",EV,,,,,
Р по пустякам,EV,,,,,
у вас своих забот хватает,EV,,,,,
видавший виды Х,EV,,,,,
"счастлив, как никогда",EV,,,,,
как это Х сам не додумался,EV,,,,,
Р так Р,EV,,,,,
еще как Р!,EV,,,,,
Хотел бы я быть таким Х-ом,EV,,,,,
"Ничего не оставалось, как Р",EV,,,,,
Что ты Р? Ничего я не Р!,EV,,,,,
Не лучше ли Р?,EV,,,,,
"Надо полагать, Р",EV,,,,,
Х-у на пользу Р,EV,,,,,
"Вас послушать, Р",EV,,,,,
Ни за какие коврижки не Р,EV,,,,,
Неужели в жизни нет места Р?,EV,,,,,
как бы ему не досталось за это,EV,,,,,
"Х Р, а мне нельзя что ли?",EV,,,,,
ты на Х не смотри (сам понимать должен),EV,,,,,
"Вот если бы ты Р, тогда да, а так -- нет",EV,,,,,
"не то, чтобы Р, но Q",EV,,,,,
Х уклонился от темы,EV,,,,,
сХом шутки плохи,EV,,,,,
порядком Атый,EV,,,,,
"просто умираю, до чего Р хочется",EV,,,,,
ни малейших Х (подозрений),EV,,,,,
"не суйтесь, куда не следует",EV,,,,,
"Р, если уж на то пошло",EV,,,,,
"Р, скажу я вам",EV,,,,,
ну и Х!,EV,,,,,
на что может понадобиться Х такому У?,EV,,,,,
"Х куда меньше, чем У",EV,,,,,
сущий Х!,EV,,,,,
"Спросите Х, если не верите",EV,,,,,
А тут еще Р,EV,,,,,
как насчет Х?,EV,,,,,
Х пороху не выдумает,EV,,,,,
"Уж на что Х Р, а Q",EV,,,,,
"Подумаешь, уж и Р нельзя",EV,,,,,
"То-то я вижу, что Р",EV,,,,,
"чем скорее Р, тем лучше",EV,,,,,
Не пора ли Р?,EV,,,,,
Что толку Ринф?,EV,,,,,
"Только и всего, что Р",EV,,,,,
"Чему учат х, как не тому, чтобы Р",EV,,,,,
"Р так, что не обрадуешься",EV,,,,,
"Р или Q, a Z",EV,,,,,
"по правде сказать, Р",EV,,,,,
"то-то и есть, что Р",EV,,,,,
какой бы ни был Х,EV,,,,,
"сказать вам по правде, Р",EV,,,,,
"Не то, чтобы Р",EV,,,,,
"льщу себя надеждой, что р",EV,,,,,
Мне ничего не стоит Р,EV,,,,,
Вы так и будете Ринф?,EV,,,,,
Тем лучше для Х,EV,,,,,
"Ваше счастье, что Р",EV,,,,,
"Кто бы он ни был, Р",EV,,,,,
"Р, не так ли?",EV,,,,,
К чему это А-е Х,EV,,,,,
Где уж вам Р инф,EV,,,,,
Уйти с головой в Х,EV,,,,,
"Х был бы У, если бы не Р",EV,,,,,
"если уж на то пошло, Р",EV,,,,,
Х нам / тут не лишний,EV,,,,,
Х тут не последний,EV,,,,,
Х нам / тут не чужой,EV,,,,,
привести Х в божеский вид,EV,,,,,
